Localidad;Tipo de propiedad;Direccion
BARRIOS UNIDOS;CONJUNTO;CL96#45A-40 VILLA CALASANZ II ETAPA Bogota Colombia
BARRIOS UNIDOS;EDIFICIO;KR57B#65-09 2C BLOQUE 6 Bogota Colombia
BARRIOS UNIDOS;EDIFICIO;KR57B#72-21 ALICIA  Bogota Colombia
BARRIOS UNIDOS;EDIFICIO;CL78#64-31 APOSENTOS 1 PROPIEDAD HORIZONTAL Bogota Colombia
BARRIOS UNIDOS;EDIFICIO;KR15#63-32 MODULOR Bogota Colombia
BARRIOS UNIDOS;EDIFICIO;CL72A#62-14 NOVA 72 Bogota Colombia
BARRIOS UNIDOS;EDIFICIO;CL66#27-26 AUTO CENTRO 7 DE AGOSTO Bogota Colombia
BARRIOS UNIDOS;AGRUPACIÓN DE VIVIENDA;CL96#45A-40 VILLA CALASANZ II ETAPA Bogota Colombia
BARRIOS UNIDOS;COPROPIEDAD;CL74A#22-31 EDIFICIO PARQUE SAN FELIPE Bogota Colombia
BARRIOS UNIDOS;EDIFICIO MULTIFAMILIAR;CL75#65-48 BALCONES DE METROPOLIS Bogota Colombia
BARRIOS UNIDOS;EDIFICIO MULTIFAMILIAR;CL73#58-50 EVONIMO 73 Bogota Colombia
BARRIOS UNIDOS;EDIFICIO;CL75#43-17 PARQUE EL SALITRE Bogota Colombia
BARRIOS UNIDOS;EDIFICIO;KR14#63-51  VARGAS Bogota Colombia
BARRIOS UNIDOS;CENTRO COMERCIAL;KR24#67-28 LAS RAMPAS Bogota Colombia
BARRIOS UNIDOS;EDIFICIO MULTIFAMILIAR;CL94A#60-97 SOLVANA Bogota Colombia
BARRIOS UNIDOS;CONJUNTO;CL96#45A-40 VILLA CALASANZ II ETAPA AGRUPACIÃÂN IV INTERIORES 10 11 Y 12 Bogota Colombia
BARRIOS UNIDOS;EDIFICIO;CL95#48-40  CASTILLA Bogota Colombia
BARRIOS UNIDOS;EDIFICIO;KR50B#64-69 TORRE FUERTE Bogota Colombia
BARRIOS UNIDOS;EDIFICIO;KR67#67F-79 TORRES DE LAS LAJAS Bogota Colombia
BARRIOS UNIDOS;AGRUPACIÓN DE VIVIENDA;CL96#46-58 VILLA CALASANZ I ETAPA Bogota Colombia
BARRIOS UNIDOS;CONJUNTO;AC100#49-97 CONJUNTO PARQUE RESIDENCIAL CALLE 100  Bogota Colombia
BARRIOS UNIDOS;EDIFICIO;KR23#63-25 LOS CEREZOS Bogota Colombia
BARRIOS UNIDOS;CONJUNTO RESIDENCIAL;KR66#97-35 VIZCAYA BLOQUES III Y IV Bogota Colombia
BARRIOS UNIDOS;EDIFICIO;CL63C#21-24 MUEQUETÃ¡ Bogota Colombia
BARRIOS UNIDOS;EDIFICIO MULTIFAMILIAR;AK45#94-07 CALARCA Bogota Colombia
BARRIOS UNIDOS;EDIFICIO;CL67A#50B-12 FERRARA 67 Bogota Colombia
BARRIOS UNIDOS;AGRUPACIÓN DE VIVIENDA;KR66#76-46 METROPOLIS UNIDAD 6 Bogota Colombia
BARRIOS UNIDOS;EDIFICIO;AV13#86-13 LOS PINOS Bogota Colombia
BARRIOS UNIDOS;EDIFICIO;CL63A#26-43 MARIA CRISTINA PH Bogota Colombia
BARRIOS UNIDOS;EDIFICIO;KR49#91-91  LA CASTELLANA 91-2 Bogota Colombia
BARRIOS UNIDOS;CONJUNTO RESIDENCIAL;CL66B#50-61 EL LABRADOR IV Bogota Colombia
BARRIOS UNIDOS;AGRUPACIÓN DE VIVIENDA;KR66#76-26 METROPOLIS UNIDAD 7 Bogota Colombia
BARRIOS UNIDOS;EDIFICIO;CL63#24-44 ANA VIRGINIA II Bogota Colombia
BARRIOS UNIDOS;EDIFICIO;KR62#96-75 LOS ANDES NORTE Bogota Colombia
BARRIOS UNIDOS;AGRUPACIÓN DE VIVIENDA;CL75A#66-43 METROPOLIS UNIDAD 17 Bogota Colombia
BARRIOS UNIDOS;EDIFICIO MULTIFAMILIAR;KR61#72A-35 BALCONES DE METROPOLIS II Bogota Colombia
BARRIOS UNIDOS;CONJUNTO RESIDENCIAL;KR63#68-40 K 68 PH Bogota Colombia
BARRIOS UNIDOS;CONJUNTO RESIDENCIAL;KR60#79B-46  ENTRE RIOS UNIDAD DOS Bogota Colombia
BARRIOS UNIDOS;EDIFICIO;KR45A#95-37  CASTELLANA FORUM Bogota Colombia
BARRIOS UNIDOS;EDIFICIO;KR60D#90-04  UDARA ® ENTRE PARQUES Bogota Colombia
BARRIOS UNIDOS;EDIFICIO;KR25#68-68 ANDRES I Bogota Colombia
BARRIOS UNIDOS;AGRUPACIÓN DE VIVIENDA;CL79A#66-40 METROPOLIS UNIDAD ONCE 11 Bogota Colombia
BARRIOS UNIDOS;UNIDAD RESIDENCIAL;CL67D#59-65 MODELO DEL NORTE Bogota Colombia
BARRIOS UNIDOS;CONJUNTO RESIDENCIAL;KR50#64-72 CAMINO DEL VIENTO ETAPA 3 Bogota Colombia
BARRIOS UNIDOS;EDIFICIO;AK14#70-23 69A Bogota Colombia
BARRIOS UNIDOS;AGRUPACIÓN DE VIVIENDA;KR61#67A-65 EL PORTAL DEL J VARGAS Bogota Colombia
BARRIOS UNIDOS;EDIFICIO;KR28B#75-50 LOMBARDIA Bogota Colombia
BARRIOS UNIDOS;EDIFICIO;KR62#96-09 ANDRES Bogota Colombia
BARRIOS UNIDOS;CONJUNTO RESIDENCIAL;AC100#67-25 PARQUE DEL NORTE PROPIEDAD HORIZONTAL Bogota Colombia
BARRIOS UNIDOS;EDIFICIO;KR51#97A-37 DIANA Bogota Colombia
BARRIOS UNIDOS;CENTRO COMERCIAL;CL66#58-07 PORTAL PLAZA Bogota Colombia
BARRIOS UNIDOS;AGRUPACIÓN DE VIVIENDA;CL79A#66-69 METROPOLIS UNIDAD QUINCE Bogota Colombia
BARRIOS UNIDOS;CONJUNTO RESIDENCIAL;KR61A#90-94 ANDES RESERVADO II Bogota Colombia
BARRIOS UNIDOS;propiedad;KR58#80-81  UNIDAD ONCE DEL CONJUNTO RESIDENCIAL ENTRE RIOS Bogota Colombia
BARRIOS UNIDOS;CONJUNTO RESIDENCIAL;CL90#49A-44 PASEO DE LA CASTELLANA Bogota Colombia
BARRIOS UNIDOS;EDIFICIO;CL76#20B-68 CALLE 76 Bogota Colombia
BARRIOS UNIDOS;AGRUPACIÓN DE VIVIENDA;KR66#76-66 METROPOLIS UNIDAD CINCO Bogota Colombia
BARRIOS UNIDOS;CONJUNTO RESIDENCIAL;KR62#64-75 EL LABRADOR II ETAPA Bogota Colombia
BARRIOS UNIDOS;propiedad;KR67A#95-63  CONJUNTOS INMOBILIARIOS 68 AVENIDA 1 Y 2 Bogota Colombia
BARRIOS UNIDOS;CONJUNTO RESIDENCIAL;CL66#59-31 PARQUE DE LOS CIPRESES EDIFICIO VISTA AL PARQUE DEL SALITRE Bogota Colombia
BARRIOS UNIDOS;EDIFICIO;CL67A#30-41 SAINT MICHEL Bogota Colombia
BARRIOS UNIDOS;CONJUNTO RESIDENCIAL;AC100#46-51 ALTAVISTA Bogota Colombia
BARRIOS UNIDOS;EDIFICIO;KR57#65A-17 RINCON DEL SALITRE II Bogota Colombia
BARRIOS UNIDOS;EDIFICIO MULTIFAMILIAR;KR67#67A-76 EUCALIPTOS Bogota Colombia
BARRIOS UNIDOS;EDIFICIO;CL66A#16-59 GOMEZ OL Bogota Colombia
BARRIOS UNIDOS;EDIFICIO;KR28#72-15 MARIA ALICIA Bogota Colombia
BARRIOS UNIDOS;CENTRO EMPRESARIAL;CL98A#51-37 ECOTORRE Bogota Colombia
BARRIOS UNIDOS;EDIFICIO;KR49#91-86 LA CASTELLANA 91 1 Bogota Colombia
BARRIOS UNIDOS;EDIFICIO;CL64#17-60  LOFT 64  Bogota Colombia
BARRIOS UNIDOS;CONJUNTO RESIDENCIAL;KR45B#65-79 EL RINCON DEL SALITRE UIC Bogota Colombia
BARRIOS UNIDOS;EDIFICIO;KR23#72A-37 CONDORES Bogota Colombia
BARRIOS UNIDOS;EDIFICIO MULTIFAMILIAR;AC80#23-86 COLPATRIA SEGUNDO SECTOR  Bogota Colombia
BARRIOS UNIDOS;EDIFICIO;CL94B#56-12 ARIES  Bogota Colombia
BARRIOS UNIDOS;AGRUPACIÓN DE VIVIENDA;KR66#79-44 METROPOLIS UNIDAD CUATRO  Bogota Colombia
BARRIOS UNIDOS;MULTIFAMILIAR;KR19#63B-33 CASA BAQUERO PH Bogota Colombia
BARRIOS UNIDOS;EDIFICIO;DG83#24-33 POLO 2 Bogota Colombia
BARRIOS UNIDOS;COPROPIEDAD;CL104#21-50 EDIFICIO MILENIO PH Bogota Colombia
BARRIOS UNIDOS;;AK30#75-65 SORRENTO PI CENTRO DE NEGOCIOS Bogota Colombia
BARRIOS UNIDOS;CONJUNTO RESIDENCIAL;KR62#64-75  EL LABRADOR PRIMERA ETAPA Bogota Colombia
BARRIOS UNIDOS;CONJUNTO RESIDENCIAL;CL65#56B-33 PARQUE DELOS ALMENDROS  Bogota Colombia
