Localidad;Tipo de propiedad;Direccion
SUBA;CONJUNTO RESIDENCIAL;CL119#72B-92 MIRADOR DEL LAGO Bogota Colombia
SUBA;AGRUPACIÓN RESIDENCIAL;CL185#45-60 TEJARES DEL NORTE IV  Bogota Colombia
SUBA;AGRUPACIÓN DE VIVIENDA;CL147C#100-53 LAS NAVETAS IV Bogota Colombia
SUBA;EDIFICIO;KR49#103B-05  ARCOIRIS PASADENA I Bogota Colombia
SUBA;CONJUNTO RESIDENCIAL;KR58C#152B-66 COLINAS DE CANTABRIA I ETAPA -PH Bogota Colombia
SUBA;AGRUPACIÓN DE VIVIENDA;KR51#167-56 GRANADA NORTE ETAPA II Bogota Colombia
SUBA;EDIFICIO;KR50#123A-19 MARIA PAULA II Bogota Colombia
SUBA;CONJUNTO;CL163#54-15 PRADOS DE SOTAVENTO ETAPA 1 Bogota Colombia
SUBA;CONJUNTO RESIDENCIAL;KR136A#151B-52 VILLAS DE HATOCHICO IV PH Bogota Colombia
SUBA;CONJUNTO RESIDENCIAL;CL161#54-10 CONJUNTO RESIDENCIAL SENDEROS DEL CARMEL 2 PROPIEDAD HORIZONTAL Bogota Colombia
SUBA;CONJUNTO RESIDENCIAL;KR62#164-40  ATICOS DE MONTERREY  Bogota Colombia
SUBA;EDIFICIO DE VIVIENDA;CL167A#55A-60 PARK 170 Bogota Colombia
SUBA;EDIFICIO MULTIFAMILIAR;CL117#70G-19EDGLORIACECILIAPH GLORIA CECILIA  Bogota Colombia
SUBA;CONJUNTO RESIDENCIAL;CL152D#103-07  VALLES DE IBARRA I Bogota Colombia
SUBA;EDIFICIO;CL134D#49-35 BALU - PROPIEDAD HORIZONTA Bogota Colombia
SUBA;AGRUPACIÓN DE VIVIENDA;KR123#131-80 Las Orquideas de la Tercera Etapa Bogota Colombia
SUBA;CONJUNTO RESIDENCIAL;CL152B#72-91OFAD  GRATAMIRA CAMPESTRE 1 Bogota Colombia
SUBA;CONJUNTO RESIDENCIAL;KR65#169A-55 ORIGAMI Bogota Colombia
SUBA;EDIFICIO MULTIFAMILIAR;CL144#42-10 SANTAHELENA VI Bogota Colombia
SUBA;EDIFICIO MULTIFAMILIAR;CL146#53A-10 SANTAHELENA SEIS Bogota Colombia
SUBA;CONJUNTO RESIDENCIAL;AC53#141-69 SANTA CAROLINA II ETAPA II Bogota Colombia
SUBA;CONJUNTO RESIDENCIAL;CL165#49-06 BRISAS DEL CARMEL PH Bogota Colombia
SUBA;EDIFICIO;CL149#53-45 OLMOS Bogota Colombia
SUBA;EDIFICIO;CL169#67-25TO1  PARQUE PIJAO TORRE I Bogota Colombia
SUBA;AGRUPACIÓN;CL166#49-70AG  LARES DE BRITALIA  Bogota Colombia
SUBA;AGRUPACIÓN RESIDENCIAL;KR95A#136-42AD EL BOSQUE DE SUBA AGRUPACION 1 Bogota Colombia
SUBA;EDIFICIO;CL122#47-68 emporio 122 Bogota Colombia
SUBA;EDIFICIO;CL149#48-76  LA VICTORIA Bogota Colombia
SUBA;CONJUNTO RESIDENCIAL;CL145#57A-23 Quintas de Sevilla Bogota Colombia
SUBA;CONJUNTO RESIDENCIAL;CL169B#75-60 CONJUNTO RESIDENCIAL ALTOS DE LA COLINA ETAPA I PH Bogota Colombia
SUBA;EDIFICIO;CL134A#53-75 NOVA COLINA Bogota Colombia
SUBA;CONJUNTO RESIDENCIAL;CL215#111-60 camino de arrayanes  Bogota Colombia
SUBA;CONJUNTO RESIDENCIAL;KR78#128A-09 Miraflores Bogota Colombia
SUBA;CONJUNTO CERRADO;KR102#155-50ADAD ARBOLEDA DEL PINAR I Bogota Colombia
SUBA;CONJUNTO;KR54#149-23 SENDERO DE LA COLINA Bogota Colombia
SUBA;EDIFICIO MULTIFAMILIAR;KR51#106-31 castelvisconti Bogota Colombia
SUBA;AGRUPACIÓN DE VIVIENDA;CL137#85-40 LOS PINOS Bogota Colombia
SUBA;CONJUNTO RESIDENCIAL;CL136#56A-18 RINCON DE ATICOS III Bogota Colombia
SUBA;EDIFICIO;CL146#42-40 LA VICTORIA Bogota Colombia
SUBA;EDIFICIO;KR50#150-82 MIRALTO Bogota Colombia
SUBA;CONJUNTO RESIDENCIAL;KR57A#145-80 ALAMEDA DE SANTA CLARA III Bogota Colombia
SUBA;URBANIZACIÓN;KR106B#152A-11 PINOS DE LOMBARDIA MANZANAS G y H Bogota Colombia
SUBA;AGRUPACIÓN;KR46#152-29 02 URBANIZACION MAZUREN Bogota Colombia
SUBA;CONJUNTO DE VIVIENDA;KR65#173A-50CJPONTEVEDRA PONTEVEDRA PH Bogota Colombia
SUBA;CONJUNTO COMERCIAL;CL24#4-4 PRUEBA PROPIEDAD Bogota Colombia
SUBA;AGRUPACIÓN DE VIVIENDA;CL142A#113C-51 CIUDADELA CAFAM MANZ28 SL A ETAPA I Bogota Colombia
SUBA;CONJUNTO RESIDENCIAL;CL137D#76A-50 ARBOLEDA DE SUBA Bogota Colombia
SUBA;EDIFICIO;KR56#161-32ED CARMEL RESERVADO Bogota Colombia
SUBA;CONJUNTO RESIDENCIAL;CL150A#101-20 VALLE DEL REFOUS ETAPAS 1 2 Y 3 Bogota Colombia
SUBA;CONJUNTO RESIDENCIAL;CL147C#99-53 LAS NAVETAS III  Bogota Colombia
SUBA;EDIFICIO MULTIFAMILIAR;CL154A#92-40AD EDIFICIO MULTIFAMILIAR BOSQUE LA CAROLINITA Bogota Colombia
SUBA;EDIFICIO MULTIFAMILIAR;KR103B#152C-62AD EDIFICIO MILENTTO PH Bogota Colombia
SUBA;CENTRO COMERCIAL;CL138#55-53AD PARQUE COMERCIAL LA COLINA 138 Bogota Colombia
SUBA;EDIFICIO;CL136#59A-44 PINAR DE GRATAMIRA PH Bogota Colombia
SUBA;CONJUNTO RESIDENCIAL;KR94F#134-04 VILLA CATALINA II SECTOR Bogota Colombia
SUBA;CONJUNTO RESIDENCIAL;KR94#152A-50 EL PINAR DE SUBA SECTOR 1 AGRUP A Bogota Colombia
SUBA;propiedad;KR127C#143A-03  EDIFICIOS PARQUES DEL CAMPO 5 Y 7 Bogota Colombia
SUBA;AGRUPACIÓN DE VIVIENDA;KR123#130C-56 TIBABUYESSECTOR B Bogota Colombia
SUBA;EDIFICIO;KR45A#106A-35 ESTORIL Bogota Colombia
SUBA;CONJUNTO RESIDENCIAL;CL144#145-50 FONTANAR DEL RIO SUPERMANZANA 3 SUPERLOTE 1 Bogota Colombia
SUBA;CONJUNTO RESIDENCIAL;AK68#98A-41 LA FLORESTA Bogota Colombia
SUBA;EDIFICIO;KR58#132A-73  COLINA CAMPESTRE NO 21 Bogota Colombia
SUBA;CONJUNTO RESIDENCIAL;CL152D#102B-41IN3 VALLES DE IBARRA II Bogota Colombia
SUBA;CONJUNTO RESIDENCIAL;KR80#129-22 MONTERESERVA I ETAPA Bogota Colombia
SUBA;EDIFICIO;KR46#165-65 SAN JORGE Bogota Colombia
SUBA;AGRUPACIÓN DE VIVIENDA;KR94C#146A-50 GUACARI Bogota Colombia
SUBA;URBANIZACIÓN;CL142B#131-12 PLAZUELAS DEL TERUEL PROPIEDAD HORIZONTAL  Bogota Colombia
SUBA;CONJUNTO RESIDENCIAL;KR102#154-30 ARBOLEDA DEL PINAR 2 Bogota Colombia
SUBA;EDIFICIO;TV33A#123-65 HORIZONTE I Bogota Colombia
SUBA;EDIFICIO;CL126#51-49 ALEJANDRA Bogota Colombia
SUBA;EDIFICIO;KR52#123B-06 CAMBRILES Bogota Colombia
SUBA;CONJUNTO RESIDENCIAL;KR136A#151-02   VILLAS DE HATOCHICO V Bogota Colombia
SUBA;CONJUNTO RESIDENCIAL;KR90#139-50 SUBA RESERVADO PROPIEDAD HORIZONTAL. Bogota Colombia
SUBA;CONJUNTO RESIDENCIAL;KR54D#135-95 TORRES DE MALLORCA PH Bogota Colombia
SUBA;CONJUNTO RESIDENCIAL;AK72#173-21  LA ABADIA Bogota Colombia
SUBA;CONJUNTO RESIDENCIAL;KR73#163-71 QUINTAS DE MONTERREY Bogota Colombia
SUBA;CONJUNTO RESIDENCIAL;CL165#54C-55 LOS ELISEOS ETAPAS I Y II Bogota Colombia
SUBA;CONJUNTO RESIDENCIAL;CL128A#54B-56 MIRADOR DE CORDOBA Bogota Colombia
SUBA;CONJUNTO RESIDENCIAL;CL152#58-51 TORRES DE LA COLINA Bogota Colombia
SUBA;CONJUNTO RESIDENCIAL;KR136A#144-58  ALBEAR DE SUBA   Bogota Colombia
SUBA;EDIFICIO;CL142#92A-09 OIKOS 144 Bogota Colombia
SUBA;CONJUNTO RESIDENCIAL;KR72A#120-31 MIRADOR DEL PUERTO I Bogota Colombia
SUBA;EDIFICIO;AK45#106-25 CENTRO EMPRESARIAL 106 Bogota Colombia
SUBA;CONJUNTO RESIDENCIAL;KR87#131C-89 camino del bosque unidad residencia Bogota Colombia
SUBA;CONJUNTO RESIDENCIAL;KR62#167B-19 PORTALES DEL NORTE 2 MANZANA 6 Bogota Colombia
SUBA;URBANIZACIÓN;KR46#187-65 MIRANDELA AGRUPACION 11 Bogota Colombia
SUBA;CONJUNTO RESIDENCIAL;KR54D#135-06 TORRES ACQUA CLUB HOUSE Bogota Colombia
SUBA;AGRUPACIÓN DE VIVIENDA;CL135#93B-65 VILLA CATALINA III SECTOR  Bogota Colombia
SUBA;CONJUNTO;KR54D#135-34 CONDADO DE LA COLINA ETAPA I  Bogota Colombia
SUBA;AGRUPACIÓN DE VIVIENDA;KR56#152-37 URBANIZACION MAZUREN MANZANA 18 Bogota Colombia
SUBA;CONJUNTO RESIDENCIAL;KR43#125A-30 JARDINES DE SAN TELMO Bogota Colombia
SUBA;AGRUPACIÓN DE VIVIENDA;KR58C#134A-51 GUADALQUIVIR Bogota Colombia
SUBA;EDIFICIO;CL150#50-47 ONZAGA Bogota Colombia
SUBA;EDIFICIO;KR50#149-30 TRIPOLI PROPIEDAD HORIZONTAL Bogota Colombia
SUBA;CONJUNTO RESIDENCIAL;CL150A#102B-47ADADAD TORRES PORTAL DE SUBA  Bogota Colombia
SUBA;CONJUNTO RESIDENCIAL;KR55#152B-71AD TUSET Bogota Colombia
SUBA;EDIFICIO;CL145#91-34 PARQUE COMERCIAL SUBAZAR Bogota Colombia
SUBA;CONJUNTO RESIDENCIAL;KR79C#129-51 BELLOMONTE I ETAPA Bogota Colombia
SUBA;EDIFICIO;CL106#53-56 OFICINAS GRUPO 7 TORRE 106 Bogota Colombia
SUBA;CONJUNTO RESIDENCIAL;CL213#114-10 CAMINO DE ARRAYANES Bogota Colombia
SUBA;EDIFICIO;KR57#138-34 TORRES DE SEGOVIA ETAPA II Bogota Colombia
SUBA;CONJUNTO RESIDENCIAL;CL132A#89-51 PACANDE Bogota Colombia
SUBA;CONJUNTO RESIDENCIAL;CL131#57A-52 IBERIA III Bogota Colombia
SUBA;EDIFICIO MULTIFAMILIAR;CL107#52-38 TORRES DE JERICO I Bogota Colombia
SUBA;AGRUPACIÓN MULTIFAMILIAR;CL169#48A-31AGAGAG  DON JOSE Bogota Colombia
SUBA;APARTAMENTOS;CL96#69B-75 MAZZINI Bogota Colombia
SUBA;CONJUNTO RESIDENCIAL;KR56B#127-04 NIZA VIII FRENTE 6 Bogota Colombia
SUBA;AGRUPACIÓN DE VIVIENDA;CL147#99-68 LAS NAVETAS II Bogota Colombia
SUBA;AGRUPACIÓN RESIDENCIAL;KR121#128B-21AD LAGUNA TRES Y CUATRO Bogota Colombia
SUBA;EDIFICIO;KR#127-12ED BRIDGE POINT Bogota Colombia
SUBA;CONDOMINIO;CL150#45-44 LA PLAZUELA II Y III Bogota Colombia
SUBA;AGRUPACIÓN DE VIVIENDA;CL154A#96-40 CAMPANELLA RESERVADO Bogota Colombia
SUBA;EDIFICIO;CL138#50-36 DON PEDRO  Bogota Colombia
SUBA;UNIDAD RESIDENCIAL;KR100#148-58AD ALTAMIRA 1 Bogota Colombia
SUBA;propiedad;AK104#148-07ADSegundopiso  PLAZA IMPERIAL CENTRO COMECIAL Bogota Colombia
SUBA;CONJUNTO RESIDENCIAL;CL93#72-20 PONTENOVO APARTAMENTOS Bogota Colombia
SUBA;CONJUNTO RESIDENCIAL;CL95#69B-56 LA FLORESTA RESERVADA Bogota Colombia
SUBA;EDIFICIO;TV58#104B-50 PORTAL DE PUENTE LARGO  Bogota Colombia
SUBA;CONJUNTO MULTIFAMILIAR;AC124BSUR#3-3 TEST PROPIEDAD TRES 18 JULIO Bogota Colombia
SUBA;CONJUNTO PARQUE RESIDENCIAL;KR111A#145-87 LOS CEREZOS DE SUBA  Bogota Colombia
SUBA;EDIFICIO RESIDENCIAL;CL149#45-37 IBIZA I PROPIEDAD HORIZONTAL Bogota Colombia
SUBA;CENTRO COMERCIAL;CL145#91-19 CENTRO SUBA PH Bogota Colombia
SUBA;EDIFICIO;KR53#115-15 EDIFICIO TERRANOVA Bogota Colombia
SUBA;EDIFICIO;CL108#45A-59 NATURA Bogota Colombia
SUBA;CENTRO COMERCIAL;KR70D#127-48 NIZA Bogota Colombia
SUBA;CENTRO COMERCIAL;CL154A#94-91 CAMPANELLA PLAZA Bogota Colombia
SUBA;EDIFICIO;CL134B#50-58AD REFUGIO DEL PRADO Bogota Colombia
SUBA;CONJUNTO RESIDENCIAL;TV60#119-30 PLAZA DE CORDOBA Bogota Colombia
SUBA;CONJUNTO RESIDENCIAL;CL134A#53-82 CONDADO DE IBERIA III Bogota Colombia
SUBA;CONJUNTO RESIDENCIAL;KR58#119A-98 PROVENZA CAMPESTRE FASE 1 Bogota Colombia
SUBA;CONJUNTO RESIDENCIAL;CL95#71-31 PARQUE CENTRAL PONTEVEDRA SEGUNDA ETAPA Bogota Colombia
SUBA;CONJUNTO RESIDENCIAL;CL138#74-51 ARBOLEDA DE GRATAMIRA PH Bogota Colombia
SUBA;CONJUNTO RESIDENCIAL;DG146#128-70 PORTAL DE HATO CHICO Bogota Colombia
SUBA;EDIFICIO;CL136A#58C-23 COLINA CAMPESTRE 3 Bogota Colombia
SUBA;URBANIZACIÓN;KR56#151-52  MAZUREN MANZANA 14 Bogota Colombia
SUBA;EDIFICIO;TV55#108-35 GUADALCAZAR II Bogota Colombia
SUBA;CONJUNTO RESIDENCIAL;CL213#114-10 CAMINO DE ARRAYANES MANZANA SEIS Bogota Colombia
SUBA;CONJUNTO RESIDENCIAL;CL128B#60-57 ARBOLEDA DE SOTILEZA Bogota Colombia
SUBA;CONJUNTO RESIDENCIAL;KR53A#127-70 PLAZA DE SAN JOAQUIN Bogota Colombia
SUBA;AGRUPACIÓN DE VIVIENDA MULTIFAMILIAR;KR54B#128-39 PRADO VERANIEGO Bogota Colombia
SUBA;CONJUNTO CASAS;TV80#137A-75 OCALES Bogota Colombia
SUBA;EDIFICIO;KR57#148-15 RESERVA DE LA COLINA II TORRE 2 Bogota Colombia
SUBA;CONJUNTO RESIDENCIAL;CL97#70C-69AD PORTAL DE PONTEVEDRA ETAPAS I Y II Bogota Colombia
SUBA;CONJUNTO RESIDENCIAL;CL160#64-11 MATISSE Bogota Colombia
SUBA;CONJUNTO RESIDENCIAL;KR54D#134-51 HACIENDA RESERVADA Bogota Colombia
SUBA;EDIFICIO;KR51#106-93 PARQUE PASADENA Bogota Colombia
SUBA;EDIFICIO RESIDENCIAL;CL137#55A-65 BEAMONTE Bogota Colombia
SUBA;EDIFICIO;KR70B#125A-49  PARQUE RESERVADO NIZA I Bogota Colombia
SUBA;AGRUPACIÓN RESIDENCIAL;CL180#65-45 LOS FUNDOS Bogota Colombia
SUBA;CONJUNTO RESIDENCIAL;CL113#55-09 PUENTE LARGO PROPIEDAD HORIZONTAL Bogota Colombia
SUBA;CONJUNTO RESIDENCIAL;KR81#128B-52 MONTICELLO Bogota Colombia
SUBA;CONJUNTO MULTIFAMILIAR;CL152B#72-51 SEVILLA I ETAPA II ETAPA Bogota Colombia
SUBA;EDIFICIO;KR45A#134A-40 PORTAL DE LA COLINA Bogota Colombia
SUBA;AGRUPACIÓN DE VIVIENDA;CL152#54-50 URBANIZACION MAZUREN MANZANA 8 PH Bogota Colombia
SUBA;CONJUNTO;CL189#46-56 MIRANDELA 5 Bogota Colombia
SUBA;CONJUNTO;CL130#58-20 PLAZA AVENTURA Bogota Colombia
SUBA;EDIFICIO;CL149#45-27ED VALLARTA Bogota Colombia
SUBA;EDIFICIO RESIDENCIAL;KR53#103B-70 TORRES DE PENUEL II Bogota Colombia
SUBA;EDIFICIO RESIDENCIAL;KR53#143-44 NUEVO PRADO - PROPIEDAD HORIZONTAL Bogota Colombia
SUBA;EDIFICIO;CL108#45-30 PARALELO 108 Bogota Colombia
SUBA;UNIDAD RESIDENCIAL;KR95A#138-58 EL BOSQUE DE SUBA 2 PROPIEDAD HORIZONTAL Bogota Colombia
SUBA;EDIFICIO;CL119#72-20 BALCON DE LOS LAGARTOS  Bogota Colombia
SUBA;CONJUNTO RESIDENCIAL;KR116#152-91 CAMINO VERDE DEL CIRUELO AG 1 Bogota Colombia
SUBA;EDIFICIO;TV60#105-51  GAITAN OCAMPO CINCO Bogota Colombia
SUBA;AGRUPACIÓN DE VIVIENDA;KR103F#136A-08 TORRES DE SUBA I Y II Bogota Colombia
SUBA;EDIFICIO;CL115#42-28 SAMANA Bogota Colombia
SUBA;CONJUNTO RESIDENCIAL;KR54A#188-85  VILLA DEL NORTE III  Bogota Colombia
SUBA;CONJUNTO RESIDENCIAL;CL128B#89-85 RESERVA DE SAN FELIPE Bogota Colombia
SUBA;EDIFICIO;KR62#103-44 TORRE DEL RELOJ Bogota Colombia
SUBA;CENTRO COMERCIAL;CL147#101-56AD FIESTA SUBA Bogota Colombia
SUBA;EDIFICIO;CL162#55C-20 PORTICO DE LA COLINA II Bogota Colombia
SUBA;EDIFICIO MULTIFAMILIAR;CL138#75-60 EL SOLAR DE GRATAMIRA Bogota Colombia
SUBA;CONJUNTO RESIDENCIAL;KR52A#134A-21 ANTARES DEL NORTE Bogota Colombia
SUBA;AGRUPACIÓN DE VIVIENDA;KR55#152-40 MAZUREN 6 Bogota Colombia
SUBA;AGRUPACIÓN DE VIVIENDA;KR122D#129B-60  6 LAS GAVIOTAS DE LA SEGUNDA ETAPA Bogota Colombia
SUBA;EDIFICIO;CL150A#50-07 COQUIVACOA Bogota Colombia
SUBA;CONJUNTO RESIDENCIAL;CL150A#96A-40 BARI Bogota Colombia
SUBA;CONJUNTO RESIDENCIAL;CL139#94-46 MULTISUBA Bogota Colombia
SUBA;CONJUNTO RESIDENCIAL;CL152B#58C-49CJAD MIRO Bogota Colombia
SUBA;CONJUNTO RESIDENCIAL;KR65#100-15 TORRES DE LA 100  Bogota Colombia
SUBA;EDIFICIO;CL95A#71A-74  PONTEVEDRA PARK Bogota Colombia
SUBA;CONJUNTO RESIDENCIAL;KR78#179-85 CERROS DE SAN JOSE  Bogota Colombia
SUBA;EDIFICIO;CL103#62-43 ALCAZAR DEL SOL Bogota Colombia
SUBA;EDIFICIO;CL128B#53A-33 PRADOS DE NIZA Bogota Colombia
SUBA;CONJUNTO RESIDENCIAL;KR59A#135-60 PARQUES DE LA COLINA III Bogota Colombia
SUBA;EDIFICIO;CL115#51-1 YACARE I Bogota Colombia
SUBA;EDIFICIO;KR58#134A-52 ATICOS COLINA NORTE BLOQUE IV Bogota Colombia
SUBA;CONJUNTO RESIDENCIAL;CL168#65-82   PRADOS DE LA SABANA III Bogota Colombia
SUBA;COPROPIEDAD;KR45#197-75 CENTRO COMERCIAL SUPERBODEGA MAICAO  Bogota Colombia
SUBA;CENTRO COMERCIAL;KR58A#167-58 ARIZONA PLAZA COMERCIAL Bogota Colombia
SUBA;CONJUNTO MULTIFAMILIAR;CL131A#55A-48 RIVIERA DE NIZA BLOQUES 1 Y 2  Bogota Colombia
SUBA;CONJUNTO RESIDENCIAL;KR70#173A-75 CAMINO LARGO Bogota Colombia
SUBA;CONJUNTO RESIDENCIAL;CL165A#58-62 MONTERREY II Bogota Colombia
SUBA;EDIFICIO;AC46#123-30 OPALO DEL BATAN Bogota Colombia
SUBA;CENTRO COMERCIAL;KR55#169A-55 PUNTO 170 PH Bogota Colombia
SUBA;AGRUPACIÓN DE VIVIENDA;CL147C#100-69 NAVETAS V Bogota Colombia
SUBA;EDIFICIO;CL166#49-20 BALCONES DE TOLEDO Bogota Colombia
SUBA;CONJUNTO RESIDENCIAL;KR65#175-65 PAPYROS Bogota Colombia
SUBA;CONJUNTO RESIDENCIAL;KR62#168A-54 PARQUES DE SAN JOSE Bogota Colombia
SUBA;EDIFICIO;CL106#54-14 OFICINAS TORRE 11 Bogota Colombia
SUBA;EDIFICIO;CL137#49-45 CATALINA  Bogota Colombia
SUBA;AGRUPACIÓN DE VIVIENDA;CL136#74-11 UNIFAMILIAR GRATAMIRA UNIDAD INMOBILIARIA CERRADA Bogota Colombia
SUBA;EDIFICIO;KR45A#123-21 ALAMEDA DEL BATAN Bogota Colombia
SUBA;propiedad;CL152B#73B-51 URAPANES CONJUNTO RESIDENCIAL Bogota Colombia
SUBA;AGRUPACIÓN DE VIVIENDA;KR54#137-09 AGRUPACION DE VIVIENDA CALIFORNIA TOWN HOUSES PH Bogota Colombia
SUBA;EDIFICIO;CL115#48-70 POBLAR II Bogota Colombia
SUBA;CONJUNTO RESIDENCIAL;KR81#128B-11 MONTICELLO MANZANA 3 Bogota Colombia
SUBA;AGRUPACIÓN DE VIVIENDA;KR52A#159-97 CONJUNTO BAHIA VENTURA Bogota Colombia
SUBA;CONJUNTO RESIDENCIAL;KR67#180-96 PASEO DE LOS CEREZOS  Bogota Colombia
SUBA;CENTRO COMERCIAL;KR58#137B-01 PORTOALEGRE Bogota Colombia
SUBA;CONJUNTO RESIDENCIAL;CL137#91-97 PARQUE DE LOS CEREZOS PRIMERA Y SEGUNDA ETAPA Bogota Colombia
SUBA;CONJUNTO RESIDENCIAL;CL111#45A-70 SANTA MARIA DEL ALCAZAR III Bogota Colombia
SUBA;CONJUNTO RESIDENCIAL;CL94#72A-51 PARQUE LOS LAGARTOS Bogota Colombia
SUBA;EDIFICIO;KR62#167B-64 PORTALES PROPIEDAD HORIZONTAL Bogota Colombia
SUBA;CONJUNTO RESIDENCIAL;KR72#180-60 SIERRAMONTE I Bogota Colombia
SUBA;EDIFICIO;KR46#163B-29 CANAPRO BOYACA Bogota Colombia
SUBA;EDIFICIO;CL106B#59-90 MARTHA LILIA Bogota Colombia
SUBA;AGRUPACIÓN DE VIVIENDA;KR53#134A-63 LA STELLA Bogota Colombia
SUBA;URBANIZACIÓN;KR101#147C-34 ATARDECERES DE SUBA ETAPAS III Y IV Bogota Colombia
SUBA;CONJUNTO RESIDENCIAL;CL128B#60-04CJPTAD  SOTILEZA Bogota Colombia
SUBA;CONJUNTO RESIDENCIAL;CL144C#141A-48 ALICANTE DE SUBA Bogota Colombia
SUBA;EDIFICIO;CL150A#48-36 DOBEL Bogota Colombia
SUBA;EDIFICIO;KR56#153-15 RESERVA DE COLINA Bogota Colombia
SUBA;CONJUNTO RESIDENCIAL;KR67#167-79 QUINTAS DEL CERRO  Bogota Colombia
SUBA;EDIFICIO;TV56#104A-10  SAUCES Bogota Colombia
SUBA;EDIFICIO;KR53#150-27 LOS PINOS  Bogota Colombia
SUBA;CONJUNTO RESIDENCIAL;KR91#137-59  PORTAL DE LA CAMPIÑA Bogota Colombia
SUBA;EDIFICIO MULTIFAMILIAR;TV33#106-13 TORRES DE SAN MARCOS Bogota Colombia
SUBA;EDIFICIO;CL119A#57-35 PIJAO RESERVADO ETAPA I Y II Bogota Colombia
SUBA;AGRUPACIÓN RESIDENCIAL;CL187#46-51 TEJARES DEL NORTE II Bogota Colombia
SUBA;UNIDAD RESIDENCIAL;CL189#45-30 MIRANDELA3 Bogota Colombia
SUBA;EDIFICIO;DG106C#41-86 EL REFUGIO  Bogota Colombia
SUBA;CONJUNTO RESIDENCIAL;KR64#179-31 ACANDI  Bogota Colombia
SUBA;CENTRO COMERCIAL;AC145#99B-08 TU CASA Bogota Colombia
SUBA;CONJUNTO;CL129A#54-23 INDUSTRIAL Y COMERCIAL 129  Bogota Colombia
SUBA;CIUDADELA;CL141#142-51AG08 CAFAM II AGRUPACION 08 Bogota Colombia
SUBA;CONJUNTO RESIDENCIAL;CL147C#99-80 ALAMEDA DE SUBA Bogota Colombia
SUBA;EDIFICIO;KR83#145-21 RONDA Bogota Colombia
SUBA;CASA;CL144#47-62 SANFELIPE Bogota Colombia
SUBA;CONJUNTO RESIDENCIAL;CL153#109B-18CJ BOSQUES DE TULIPANES Bogota Colombia
SUBA;CONDOMINIO;CL137D#76A-60 QUMRAN Bogota Colombia
SUBA;EDIFICIO;CL137#105C-06 TERRAZAS DE SUBA Bogota Colombia
SUBA;CONJUNTO RESIDENCIAL;CL152#54-39 PARQUE ARAGON Bogota Colombia
SUBA;CONJUNTO RESIDENCIAL;KR94#152-50  ESQUINA DEL PINAR PRIMERA ETAPA Bogota Colombia
SUBA;AGRUPACIÓN DE VIVIENDA;CL143#58C-41 CIUDAD PRIVADA ATHENAS Bogota Colombia
SUBA;AGRUPACIÓN;KR56#167C-03AG VILLA SANTORINI Bogota Colombia
SUBA;EDIFICIO;CL119#50-50 CASA TOLEDO Bogota Colombia
SUBA;CONJUNTO RESIDENCIAL;KR57A#134A-28 EL RINCON DE ATICOS I PH Bogota Colombia
SUBA;EDIFICIO;KR50#123A-49 BATAN 50 Bogota Colombia
SUBA;EDIFICIO;KR48#122-35 TENERIFE Bogota Colombia
SUBA;CONJUNTO RESIDENCIAL;KR141A#144-58 ALBORADA DE SUBA Bogota Colombia
SUBA;CONJUNTO RESIDENCIAL;KR95#136-42AD1 EL BOSQUE DE SUBA AGRUPACION 1 Bogota Colombia
SUBA;CONJUNTO RESIDENCIAL;TV60#96-25 MIRADOR PIJAO Bogota Colombia
SUBA;CONJUNTO RESIDENCIAL;CL213#114-10 CAMINO DE ARRAYANES MANZANA 15 Bogota Colombia
SUBA;AGRUPACIÓN DE VIVIENDA;CL150#96A-71 ALCAZAR DE SUBA Bogota Colombia
SUBA;CENTRO COMERCIAL;KR91#139-34 SUBA 91 Bogota Colombia
SUBA;AGRUPACIÓN DE VIVIENDA;KR92#147-05 AGRUPACION DE VIVIENDA LA CAMPIÃA PRIMER SECTOR MANZANA II SECTOR COMERCIAL  Bogota Colombia
SUBA;CONJUNTO RESIDENCIAL;CL146A#54C-86 SANTA HELENA DE BAVIERA III PRIMERA Y SEGUNDA ETAPA Bogota Colombia
SUBA;CONJUNTO RESIDENCIAL;KR98A#146A-14 SAN LORENZO DEL ESCORIAL Bogota Colombia
SUBA;CONJUNTO RESIDENCIAL;CL187#57-45 VILANOVA II SUPERMANZANA 3 Y 4 Bogota Colombia
SUBA;CONJUNTO RESIDENCIAL;KR78#173-70 SAN SIMEON Bogota Colombia
SUBA;EDIFICIO;CL116#54-34AD ALHAMBRA VII Bogota Colombia
SUBA;CONJUNTO RESIDENCIAL;CL97#70-90 PORTAL DE PONTEVEDRA IV Bogota Colombia
SUBA;CONJUNTO RESIDENCIAL;CL144#50-66 VILLAS DE SANTA TERESA PRIMERAETAPA Bogota Colombia
SUBA;AGRUPACIÓN DE VIVIENDA;KR54D#189-59 MIRANDELA 6 Bogota Colombia
SUBA;CONJUNTO RESIDENCIAL;CL137A#55-25 VILLAS DE GRATAMIRA II LOTE 1 Bogota Colombia
SUBA;CONJUNTO RESIDENCIAL;KR72Bis#147-60CJRESIDENCIALPRATUM RATUM CONJUNTO RESIDENCIAL Bogota Colombia
SUBA;EDIFICIO;KR67#100-20 COASMEDAS Bogota Colombia
SUBA;CONJUNTO RESIDENCIAL;CL94#72A-92 LA TORROJA Bogota Colombia
SUBA;EDIFICIO;CL135#47-54 LA ESPERANZA PROPIEDAD HORIZONTAL Bogota Colombia
