Localidad,Tipo de propiedad,Direccion,latitud,longitud
ANTONIO NARIÑO,CONJUNTO MULTIFAMILIAR,DG15ASUR#12-37AD CIUDAD JARDIN SUR Bogota Colombia,4.5793238,-74.0968336
ANTONIO NARIÑO,CENTRO COMERCIAL,KR18#15-15SUR EDIFICIO PASAJE COMERCIAL UNIVERSAL  Bogota Colombia,4.5865125,-74.099929
ANTONIO NARIÑO,EDIFICIO,KR10#19-53SUR TOLEDO Bogota Colombia,4.576309,-74.094437
ANTONIO NARIÑO,EDIFICIO,KR34F#29A-41SUREDMILLENNIUMTOWER MILLENNIUM TOWER Bogota Colombia,4.5982646,-74.113323
ANTONIO NARIÑO,EDIFICIO,CL17SUR#16-91SURED CENTRO COMERCIAL RESTREPO PH Bogota Colombia,4.584782199999999,-74.100162
ANTONIO NARIÑO,EDIFICIO,CL13S#24H-78 EDIFICIO SANTA MARTHA II Bogota Colombia,4.639603,-74.0668335
ANTONIO NARIÑO,CENTRO COMERCIAL,AV1#30-09 ESQUINA COMERCIAL 1 DE MAYO Bogota Colombia,4.5944446,-74.1128307
ANTONIO NARIÑO,EDIFICIO MULTIFAMILIAR RESIDENCIAL,KR24B#13-27SUR BALCONES DE LA VALVANERA Bogota Colombia,4.5889502,-74.1012763
ANTONIO NARIÑO,EDIFICIO,KR29A#17-42SUR SORRENTO PH Bogota Colombia,4.6074532,-74.0967635
BARRIOS UNIDOS,EDIFICIO,CL70#14-05/11/15/19 MARIA HELENA Bogota Colombia,4.653143399999999,-74.1093285
BARRIOS UNIDOS,CONJUNTO RESIDENCIAL,AC80#62-54 UNIDAD CINCO ENTRE RIOS Bogota Colombia,4.6800256,-74.0758526
BARRIOS UNIDOS,EDIFICIO,KR14A#71A-32 ACOSTA LOZANO  Bogota Colombia,4.6360546,-74.0744698
BARRIOS UNIDOS,CONJUNTO RESIDENCIAL,CL64A#57-23 PARQUE CENTRAL SALITRE IV Bogota Colombia,4.6605344,-74.0792355
BARRIOS UNIDOS,CONJUNTO,CL96#45A-40 VILLA CALASANZ II ETAPA Bogota Colombia,4.6847623,-74.0588479
BARRIOS UNIDOS,EDIFICIO,KR57B#65-09 2C BLOQUE 6 Bogota Colombia,4.6263329,-74.06800849999999
BARRIOS UNIDOS,EDIFICIO,KR57B#72-21 ALICIA  Bogota Colombia,4.6700349,-74.0795831
BARRIOS UNIDOS,EDIFICIO,CL78#64-31 APOSENTOS 1 PROPIEDAD HORIZONTAL Bogota Colombia,4.7171908,-74.0274142
BARRIOS UNIDOS,EDIFICIO,KR15#63-32 MODULOR Bogota Colombia,4.710988599999999,-74.072092
BARRIOS UNIDOS,EDIFICIO,CL72A#62-14 NOVA 72 Bogota Colombia,4.6743338,-74.08097219999999
BARRIOS UNIDOS,EDIFICIO,CL66#27-26 AUTO CENTRO 7 DE AGOSTO Bogota Colombia,4.6587616,-74.0726967
BARRIOS UNIDOS,AGRUPACIÓN DE VIVIENDA,CL96#45A-40 VILLA CALASANZ II ETAPA Bogota Colombia,4.6847623,-74.0588479
BARRIOS UNIDOS,COPROPIEDAD,CL74A#22-31 EDIFICIO PARQUE SAN FELIPE Bogota Colombia,4.6661242,-74.11426809999999
BARRIOS UNIDOS,EDIFICIO MULTIFAMILIAR,CL75#65-48 BALCONES DE METROPOLIS Bogota Colombia,4.677656499999999,-74.0821041
BARRIOS UNIDOS,EDIFICIO MULTIFAMILIAR,CL73#58-50 EVONIMO 73 Bogota Colombia,4.6733063,-74.0788171
BARRIOS UNIDOS,EDIFICIO,CL75#43-17 PARQUE EL SALITRE Bogota Colombia,4.663649,-74.08733749999999
BARRIOS UNIDOS,EDIFICIO,KR14#63-51  VARGAS Bogota Colombia,4.6835654,-74.0474677
BARRIOS UNIDOS,CENTRO COMERCIAL,KR24#67-28 LAS RAMPAS Bogota Colombia,4.710988599999999,-74.072092
BARRIOS UNIDOS,EDIFICIO MULTIFAMILIAR,CL94A#60-97 SOLVANA Bogota Colombia,4.6798153,-74.0493752
