DESC. CIIU1,Direccion,latitud,longitud
Alojamiento En Hoteles,CALLE 32 # 21 - 35 Bucaramanga SANTANDER Colombia,7.122943999999999,-73.122457
Alojamiento En Hoteles,AV. QUEBRADA SECA NO. 20-18 Bucaramanga SANTANDER Colombia,7.1236343,-73.1236764
Alojamiento En Hoteles,CALLE 55 # 17 A - 52 BARRIO BARRIO RICAURTE Bucaramanga SANTANDER Colombia,7.1085654,-73.1188839
Alojamiento En Hoteles,VIA PALENQUE CAFE MADRID # 44 - 96 BODEGA 1 BARRIO CHIMITA Bucaramanga SANTANDER Colombia,7.1287471,-73.1560368
Alojamiento En Hoteles,CALLE 48 # 27 - 44 BARRIO NUEVO SOTOMAYOR Bucaramanga SANTANDER Colombia,7.116598,-73.11475899999999
Alojamiento En Hoteles,CARRERA 32 # 34 - 25 BARRIO LA AURORA Bucaramanga SANTANDER Colombia,7.1247056,-73.11350809999999
Alojamiento En Hoteles,CARRERA 17 B # 54 - 30 BARRIO RICAURTE Bucaramanga SANTANDER Colombia,7.1089359,-73.119255
Alojamiento En Hoteles,CALLE 24 # 17 - 43 BARRIO ALARCON Bucaramanga SANTANDER Colombia,7.0642007,-73.1644974
Alojamiento En Hoteles,CR 38   48   66  CABECERA Bucaramanga SANTANDER Colombia,7.1165243,-73.10842190000001
Alojamiento En Hoteles,CARRERA 18 # 31 - 40 Bucaramanga SANTANDER Colombia,7.1218743,-73.1251916
Alojamiento En Hoteles,CALLE 33 # 30 - 26 Bucaramanga SANTANDER Colombia,7.125355799999999,-73.11487009999999
Alojamiento En Hoteles,CL 29 15 79 BRR GRANADAS Bucaramanga SANTANDER Colombia,7.1231703,-73.1275739
Alojamiento En Hoteles,CALLE 30 # 21 - 17 Bucaramanga SANTANDER Colombia,7.124467999999999,-73.1227254
Alojamiento En Hoteles,CARRERA 17 A # 53 - 78 Bucaramanga SANTANDER Colombia,7.108746,-73.1196654
Alojamiento En Hoteles,CARRERA 18 # 30 - 35 BARRIO CENTRO Bucaramanga SANTANDER Colombia,7.1228001,-73.1253758
Alojamiento En Hoteles,CL 32   21   27 BRR CENTRO Bucaramanga SANTANDER Colombia,7.1227587,-73.12248629999999
Alojamiento En Hoteles,CARRERA 17 # 23 - 36 - 38 - 40 BARRIO GRANADA Bucaramanga SANTANDER Colombia,7.125116999999999,-73.127371
Alojamiento En Hoteles,CL 23   17   11 BRR ALARCON Bucaramanga SANTANDER Colombia,7.1255857,-73.1272408
Alojamiento En Hoteles,CARRERA 22 # 28 - 59 BARRIO ALARCON Bucaramanga SANTANDER Colombia,7.1253201,-73.1228503
Alojamiento En Hoteles,CALLE 24 # 17 - 25 Bucaramanga SANTANDER Colombia,7.1249939,-73.12698000000002
Alojamiento En Apartahoteles,CALLE 3 # 15 - 63 TORRE 3 - 301 PARQUE RESIDENCIAL SOLERI Bucaramanga SANTANDER Colombia,7.1415495,-73.1323925
Alojamiento En Hoteles,CARRERA 17 B # 54 - 34 BARRIO RICAURTE Bucaramanga SANTANDER Colombia,7.108919299999999,-73.119143
Alojamiento En Hoteles,CALLE 56 # 15 - 12 Bucaramanga SANTANDER Colombia,7.107247999999999,-73.120982
Alojamiento En Hoteles,CALLE 90 # 20 - 25 BARRIO DIAMANTE II Bucaramanga SANTANDER Colombia,7.0916367,-73.11617389999999
Alojamiento En Hoteles,CALLE 33 # 20 - 21 BARRIO ANTONIA SANTOS Bucaramanga SANTANDER Colombia,7.121924099999999,-73.1230511
Alojamiento En Hoteles,CL 42   28   28 AP 1301 TO B CONJ RESIDENCIAL SOTOMAYOR Bucaramanga SANTANDER Colombia,7.1199203,-73.113727
Alojamiento En Hoteles,CARRERA 16 # 30 - 61 BARRIO CENTRO Bucaramanga SANTANDER Colombia,7.121715999999999,-73.127017
Alojamiento En Hoteles,CARRERA 33 # 51 - 57 BARRIO CABECERA Bucaramanga SANTANDER Colombia,7.1140737,-73.11045399999999
Alojamiento En Hoteles,CALLE 48 # 23 BIS 44 Bucaramanga SANTANDER Colombia,7.1151836,-73.11662849999999
Alojamiento En Hoteles,AVENIDA QUEBRADA SECA # 14 - 50 BARRIO GRANADAS Bucaramanga SANTANDER Colombia,7.1222962,-73.128449
Alojamiento En Hoteles,TRANSVERSAL METROPOLITANA # 13 A - 21 Bucaramanga SANTANDER Colombia,7.0883269,-73.1251545
Alojamiento En Hoteles,CARRERA 17 # 31 - 66 BARRIO CENTRO Bucaramanga SANTANDER Colombia,7.1213724,-73.1260532
Alojamiento En Centros Vacacionales,KILOMETRO 3 VIA BUCARAMANGA SURATA HOSTAL CHITOTA VEREDA ANGELINOS Bucaramanga SANTANDER Colombia,7.119349,-73.1227416
Alojamiento En Hoteles,CARRERA 17 A # 54 - 41 BARRIO RICAURTE Bucaramanga SANTANDER Colombia,7.108695099999999,-73.1194517
Alojamiento En Hoteles,AVENIDA QUEBRADA SECA # 19 - 70 Bucaramanga SANTANDER Colombia,7.1233903,-73.1241464
Alojamiento En Hoteles,CALLE 29 # 16 - 41 BARRIO ALARCON Bucaramanga SANTANDER Colombia,7.1244572,-73.1242323
