DESC. CIIU1;Direccion
Alojamiento En Hoteles;CARRERA 18 # 30 - 35 BARRIO CENTRO Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CL 32   21   27 BRR CENTRO Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CARRERA 17 # 23 - 36 - 38 - 40 BARRIO GRANADA Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CL 23   17   11 BRR ALARCON Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CARRERA 22 # 28 - 59 BARRIO ALARCON Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CALLE 24 # 17 - 25 Bucaramanga SANTANDER Colombia
Alojamiento En Apartahoteles;CALLE 3 # 15 - 63 TORRE 3 - 301 PARQUE RESIDENCIAL SOLERI Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CARRERA 17 B # 54 - 34 BARRIO RICAURTE Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CALLE 56 # 15 - 12 Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CALLE 90 # 20 - 25 BARRIO DIAMANTE II Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CALLE 33 # 20 - 21 BARRIO ANTONIA SANTOS Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CL 42   28   28 AP 1301 TO B CONJ RESIDENCIAL SOTOMAYOR Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CARRERA 16 # 30 - 61 BARRIO CENTRO Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CARRERA 33 # 51 - 57 BARRIO CABECERA Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CALLE 48 # 23 BIS 44 Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;AVENIDA QUEBRADA SECA # 14 - 50 BARRIO GRANADAS Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;TRANSVERSAL METROPOLITANA # 13 A - 21 Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CARRERA 17 # 31 - 66 BARRIO CENTRO Bucaramanga SANTANDER Colombia
Alojamiento En Centros Vacacionales;KILOMETRO 3 VIA BUCARAMANGA SURATA HOSTAL CHITOTA VEREDA ANGELINOS Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CARRERA 17 A # 54 - 41 BARRIO RICAURTE Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;AVENIDA QUEBRADA SECA # 19 - 70 Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CALLE 29 # 16 - 41 BARRIO ALARCON Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CALLE 31 # 17 - 32 BARRIO ANTONIA SANTOS Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CALLE 55 # 17 A - 33 BARRIO RICAURTE Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CARRERA 17 B # 54 - 26 BARRIO RICAURTE Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CALLE 55 # 17 A - 62 - 68 Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CARRERA 18 # 30 - 31 Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CALLE 31 # 19 - 31 BARRIO CENTRO Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CR 36   52   138   34 Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CARRERA 18 # 33 - 60 BARRIO CENTRO Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CL  35   18   65 OF 601 CC ROSEDAL Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CL 31   21    34 Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CALLE 10 # 27 - 28 Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CALLE 53 # 31 - 140 Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CL 51   34   17 OF 210 Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CARRERA 34 # 46 - 104 BARRIO CABECERA DEL LLANO Bucaramanga SANTANDER Colombia
Alojamiento En Hoteles;CARRERA 19 # 30 - 23 Bucaramanga SANTANDER Colombia
Alojamiento Rural;CARRERA 14 # 35 - 26 OFICINA 401 Bucaramanga SANTANDER Colombia
